股票代码,收益率,最大回撤,收益率/最大回撤,不择时收益率,不择时最大回撤,不择时收益率/最大回撤
AAPL,5655.878572317827,-41.26023856275482,137.07818396918645,5379.245283018888,-59.70567624386827,90.0960448223938
ABBV,586.1921429803234,-26.138780520255757,22.426147330249965,347.9714285714279,-37.39144549955367,9.306177493875746
ABT,595.1973482934133,-19.72904618335891,30.168582036948717,575.9529514267049,-31.613324624428472,18.21867703789846
ACGBY,52.99503944587127,-38.807503866264256,1.365587429392499,67.29411764705888,-53.166986564299414,1.2657124654916132
ACN,921.1840528837181,-20.161099265576897,45.691162012011404,1071.169354838712,-36.47843697879436,29.36445318261317
ADBE,1297.8107523888839,-27.945840373986385,46.44021203230523,1605.0632911392447,-65.17759860536067,24.625996131855537
AMAT,1050.4657494375997,-37.80862492360174,27.783759699281067,878.7506971556056,-62.19228982814682,14.129576183540086
AMD,1689.1953203824837,-38.80859408012196,43.526320919924835,5395.910780669139,-51.05740181268879,105.68322298233646
AMZN,2811.8387426249296,-35.037356525513545,80.25259384444148,9189.4025974026,-63.58627858627861,144.51864146969592
ASML,2778.836663253306,-28.217579107345536,98.47891814822363,2869.1774737964092,-63.93395957870766,44.87720599041312
AVGO,335.29612925863955,-35.67193042848113,9.399438864988728,443.17021915340587,-48.788895668090305,9.083423862845397
AZN,164.3606049405597,-31.165589005943815,5.273784651052586,190.11566771819136,-39.84070496526013,4.77189517313929
BABA,151.94298338097857,-54.628874800276016,2.781367618067998,133.82681861753133,-58.66041428202193,2.2813820914071887
BAC,573.170487332319,-57.69259683085943,9.934905322648495,83.93899453963476,-92.60306242638399,0.9064386461988032
BHP,94.66672552953203,-55.12100921785867,1.7174345476036919,153.8624619053932,-74.08509205208804,2.0768343217717127
BLK,467.40294096846975,-35.41730673812427,13.197021005138796,627.6903066812715,-60.749729144095376,10.332396794600037
BRK A,511.44681641201856,-20.17829434335915,25.34638496738651,392.2145264116573,-50.748299319727884,7.728624045913355
CICHY,57.63381158865843,-41.132764313920575,1.4011655319055083,133.447265625,-47.79816513761468,2.7918909698896353
CMCSA,339.0444463897141,-50.8355091383812,6.669441343978455,348.3374168708426,-50.8355091383812,6.852246053494234
COST,779.5059620228124,-20.296596182342906,38.40574818653318,1019.4543744120397,-48.51326011251006,21.013932521701506
CRM,1120.8627661926873,-32.241774750416084,34.764301123908275,2730.985196528842,-70.49973132724341,38.73752630137329
CVX,252.68178055077337,-37.03482883068276,6.822814861815442,158.46774193548384,-57.19924218503314,2.7704517731696243
DHR,920.7029563585855,-18.78752086533221,49.0060909557002,1136.2545454545484,-44.20300639976183,25.70536798285898
DIS,536.2308588103339,-26.381929340460808,20.325687780079836,441.1539593759227,-55.44441268933979,7.956689195135845
FB,387.04033292540515,-36.40455666700472,10.631645276323315,848.7951807228884,-53.56207438449447,15.846943765281123
GOOG,650.3542285185391,-21.50921567624524,30.23607361177701,1060.0940821602978,-30.79014076204073,34.4296601419641
HD,764.68580996648,-42.81193612211007,17.861509645006706,1061.4991046303435,-47.18551150269216,22.49629326514305
HON,584.8102980806059,-29.22419779285117,20.011166849673536,523.5323632714486,-62.79128459661819,8.337659702850624
INTC,245.5942558182225,-38.08468381726101,6.44863580846935,255.99033816425222,-56.29020729092209,4.547688674181446
INTU,748.4945808556164,-23.429901623393413,31.94612563410371,2164.884020618556,-37.102803738317746,58.348259497779736
JNJ,272.6656318599409,-17.880583537014605,15.249258017530336,248.68702290076183,-35.474937690390554,7.01021732782708
JPM,382.6763685689081,-49.123105070295594,7.790150236254302,340.90336134453855,-68.10431293881645,5.005606056855743
KO,187.06402377778295,-19.336853710002032,9.673963850749082,226.6530194472871,-38.395182291666686,5.903162999084914
LLY,507.2158534504521,-27.30506462491331,18.575889140641888,450.26996834853924,-48.22842065586129,9.336195592252244
