交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2019-07-05,175.86,177.04,174.51,176.66,28503,False,False,1,7.950951454355869,12.506902654867252,-0.0011873127155538343,-0.0011873127155537233
2019-07-08,176.3,176.61,175.4,176.19,23471,False,False,1,7.929798124889396,12.473628318584066,-0.0038446316503646383,-0.0038446316503646383
2019-07-09,175.43,177.89,175.3,177.73,33663,False,False,1,7.999109034205075,12.58265486725663,0.0,0.0
2019-07-10,178.58,180.26,178.58,179.31,30948,False,False,1,8.070220226879604,12.694513274336279,0.0,0.0
2019-07-11,180.15,180.94,179.46,180.74,34171,False,False,1,8.13458035695845,12.795752212389376,0.0,0.0
2019-07-12,181.35,181.35,178.92,180.33,38003,False,False,1,8.11612745253025,12.76672566371681,-0.002268451919884784,-0.002268451919884784
2019-07-15,180.64,181.07,179.94,180.57,28737,False,False,1,8.126929152683342,12.783716814159286,-0.0009405776253181841,-0.0009405776253182951
2019-07-16,180.37,180.88,178.73,179.31,37104,False,False,1,8.070220226879604,12.694513274336279,-0.007911917671793778,-0.007911917671793667
2019-07-17,179.77,180.21,179.01,179.15,26283,False,False,1,8.06301909344421,12.68318584070796,-0.008797167201504918,-0.008797167201504918
2019-07-18,178.63,180.62,178.58,180.53,31471,False,False,1,8.125128869324493,12.780884955752207,-0.0011618900077459138,-0.0011618900077460248
2019-07-19,181.84,181.84,179.14,179.24,34371,False,False,1,8.06706973100162,12.68955752212389,-0.008299214341042194,-0.008299214341042305
2019-07-22,179.64,180.98,179.14,180.57,34804,False,False,1,8.126929152683344,12.783716814159286,-0.0009405776253179621,-0.0009405776253182951
2019-07-23,180.89,181.27,179.06,180.9,50534,False,False,1,8.141781490393846,12.807079646017694,0.0,0.0
2019-07-24,180.79,183.43,179.25,183.33,59982,False,False,1,8.251148704443912,12.979115044247783,0.0,0.0
2019-07-25,183.87,183.99,181.3,181.59,39066,False,False,1,8.172836378333987,12.855929203539818,-0.009491081656030187,-0.009491081656030187
2019-07-26,182.41,183.82,182.21,183.69,33347,False,False,1,8.26735125467355,13.004601769911499,0.0,0.0
2019-07-29,183.89,184.07,182.73,183.21,27377,False,False,1,8.245747854367364,12.970619469026545,-0.0026130981544993936,-0.0026130981544992826
2019-07-30,182.6,183.38,181.27,181.53,33351,False,False,1,8.170135953295713,12.851681415929198,-0.011758941695247382,-0.011758941695247493
2019-07-31,181.79,182.05,176.06,178.0,51316,False,False,1,8.011260946877302,12.60176991150442,-0.030976101039795423,-0.030976101039795312
2019-08-01,179.19,182.4,178.17,179.17,59073,False,False,1,8.06391923512363,12.684601769911499,-0.02460667428820318,-0.024606674288202957
2019-08-02,178.0,178.27,174.69,177.42,52379,False,False,1,7.985156838173993,12.560707964601765,-0.03413359464314902,-0.0341335946431488
2019-08-05,172.0,173.5,166.97,168.86,99486,False,True,0,7.5998961993803436,11.954690265486722,-0.08073384506505543,-0.08073384506505521
2019-08-06,171.79,172.95,170.13,172.48,67871,False,False,0,7.5998961993803436,12.210973451327428,-0.08073384506505543,-0.06102672981653878
2019-08-07,171.42,175.73,170.34,175.32,49004,False,False,0,7.5998961993803436,12.412035398230083,-0.08073384506505543,-0.045565899069083815
2019-08-08,177.43,179.95,176.57,179.9,51085,False,False,0,7.5998961993803436,12.736283185840703,-0.08073384506505543,-0.02063258751156838
2019-08-09,179.67,180.1,177.85,179.05,36703,True,False,1,7.5998961993803436,12.676106194690261,-0.08073384506505543,-0.025259948826827694
2019-08-12,177.44,178.65,175.6,176.34,35125,False,False,1,7.484868449029487,12.484247787610615,-0.09464734006574638,-0.04001306549077244
2019-08-13,174.39,178.92,174.21,178.61,48704,False,False,1,7.581220107072456,12.644955752212384,-0.08299286270354389,-0.027655288801785582
2019-08-14,176.24,177.25,173.16,173.51,45746,False,False,1,7.364747218958298,12.283893805309729,-0.10917693078602508,-0.05541945669334203
2019-08-15,174.26,177.02,173.52,176.27,39368,False,False,1,7.48189725252596,12.479292035398226,-0.0950067292355058,-0.04039414230497029
2019-08-16,178.0,178.75,177.2,178.23,27599,False,False,1,7.565090754624733,12.618053097345127,-0.0849438324822388,-0.02972399150743099
2019-08-19,180.42,180.42,178.12,179.74,36305,False,False,1,7.629183707772259,12.724955752212384,-0.07719129467742569,-0.021503620229734843
2019-08-20,179.43,180.63,178.49,179.24,23316,False,False,1,7.6079608756042045,12.68955752212389,-0.07975836017570803,-0.02422559747400499
2019-08-21,180.69,181.69,180.24,180.94,24788,False,False,1,7.68011850497559,12.809911504424774,-0.07103033748154786,-0.01497087484348636
2019-08-22,181.95,182.33,178.61,180.09,34615,False,False,1,7.644039690289897,12.749734513274332,-0.07539434882862794,-0.019598236158745674
2019-08-23,179.55,180.5,174.23,175.23,42076,False,False,1,7.437753761616405,12.405663716814153,-0.1003462254719335,-0.046055854973052535
2019-08-26,176.41,177.67,175.35,177.59,28300,False,False,1,7.537925529449624,12.572743362831854,-0.0882296763200402,-0.03320812238009685
2019-08-27,178.32,179.19,176.94,178.38,22855,False,False,1,7.57145760427515,12.628672566371677,-0.08417371283275399,-0.028907398334149903
2019-08-28,176.99,178.99,176.14,178.67,21168,False,False,1,7.583766846932621,12.649203539823002,-0.08268481484375023,-0.027328651532473325
2019-08-29,180.4,181.39,179.31,181.17,23103,False,False,1,7.689881007772894,12.826194690265481,-0.06984948735233798,-0.013718765311122039
2019-08-30,181.99,182.18,179.66,180.82,20932,False,False,1,7.675025025255256,12.801415929203534,-0.07164643320113562,-0.015624149382111208
2019-09-03,180.52,181.25,179.1,179.2,28585,False,False,1,7.606263049030759,12.686725663716809,-0.07996372541557073,-0.024443355653546717
2019-09-04,180.9,182.2,180.05,181.77,27678,False,False,1,7.71534840637456,12.868672566371677,-0.06676900875439895,-0.010452392617997686
2019-09-05,183.73,185.68,183.38,184.73,35111,False,False,1,7.840987572809443,13.07823008849557,-0.05157198100456695,0.0
2019-09-06,184.74,186.71,184.55,185.74,41351,False,False,1,7.883857693788913,13.149734513274332,-0.04638650869803629,0.0
2019-09-09,186.92,187.05,179.5,181.55,50103,False,False,1,7.706010360220616,12.853097345132738,-0.06789851757364318,-0.02255841498869393
2019-09-10,179.41,179.7,173.81,176.35,103714,False,False,1,7.485292905672848,12.484955752212384,-0.09459599875578073,-0.05055453860234749
2019-09-11,177.4,177.93,174.45,174.98,61089,False,False,1,7.427142345532379,12.387964601769905,-0.10162975822107467,-0.05793044040056006
2019-09-12,176.85,179.41,176.68,177.98,54851,False,False,1,7.554479338540705,12.600353982300879,-0.08622736523138008,-0.04177883062345222
2019-09-13,178.65,178.77,176.02,177.27,40414,False,False,1,7.524342916862069,12.550088495575217,-0.089872598238941,-0.04560137827070099
2019-09-16,176.17,177.2,175.51,176.11,25107,False,False,1,7.4751059462321825,12.467964601769907,-0.09582819019495625,-0.05184666738451604
2019-09-17,176.83,178.26,175.04,176.45,40847,False,False,1,7.489537472106459,12.492035398230083,-0.09408258565612426,-0.05001615160977724
2019-09-18,177.09,177.18,172.82,175.29,47932,False,False,1,7.440300501476572,12.409911504424773,-0.10003817761213962,-0.05626144072359218
2019-09-19,176.2,177.41,175.61,175.96,39116,False,False,1,7.468739096581766,12.457345132743358,-0.09659830984444095,-0.052654247873371474
2019-09-20,177.4,177.63,173.94,174.06,71518,False,False,1,7.388092334343159,12.322831858407074,-0.10635315873791429,-0.06288360073220645
2019-09-23,172.92,175.25,172.79,174.91,28765,False,False,1,7.424171149028851,12.383008849557516,-0.1019891473908342,-0.058307311295359265
2019-09-24,176.11,177.2,173.4,174.48,51817,False,False,1,7.405919513364323,12.35256637168141,-0.10419682371935712,-0.06062237536341131
2019-09-25,173.9,175.67,172.39,175.28,42528,False,False,1,7.439876044833212,12.409203539823004,-0.10008951892210516,-0.056315279422849196
2019-09-26,175.65,176.45,174.61,175.65,39062,False,False,1,7.455580940637573,12.435398230088492,-0.098189890453376,-0.05432324755033913
2019-09-27,176.7,176.83,172.36,174.0,34542,False,False,1,7.385545594482992,12.318584070796454,-0.10666120659770817,-0.06320663292774864
2019-09-30,174.17,175.45,172.01,172.01,47304,False,False,1,7.301078722454134,12.177699115044243,-0.11687812728087243,-0.07392053407989674
2019-10-01,173.02,174.82,172.82,174.29,52438,False,False,1,7.397854837140463,12.339115044247782,-0.10517230860870441,-0.06164531064929479
2019-10-02,172.64,172.94,168.59,169.83,68763,False,False,1,7.208547174201417,12.023362831858403,-0.12807053285338377,-0.08565737051792832
2019-10-03,169.91,173.14,168.63,172.87,46520,False,True,0,7.337581993783188,12.238584070796456,-0.11246277462382659,-0.06929040594379243
2019-10-04,174.68,176.52,174.44,175.98,38512,False,False,0,7.337581993783188,12.458761061946896,-0.11246277462382659,-0.052546570474857446
2019-10-07,174.66,175.69,173.8,174.9,28004,True,False,1,7.337581993783188,12.382300884955747,-0.11246277462382659,-0.05836114999461628
2019-10-08,173.57,174.65,171.88,172.42,31679,False,False,1,7.233538521258417,12.206725663716808,-0.12504763636729677,-0.07171314741035872
2019-10-09,174.11,175.99,173.63,174.88,30368,False,False,1,7.336742933520891,12.380884955752206,-0.11256426544433851,-0.05846882739313031
2019-10-10,173.87,175.91,173.59,174.88,32596,False,False,1,7.336742933520891,12.380884955752206,-0.11256426544433851,-0.05846882739313031
2019-10-11,176.87,179.2,176.85,177.06,43739,False,False,1,7.428200502111213,12.535221238938048,-0.10150176600854632,-0.04673199095509861
2019-10-14,177.38,178.42,177.11,177.36,21138,False,False,1,7.440786406045662,12.556460176991147,-0.09997940370086833,-0.04511682997738775
2019-10-15,178.13,179.43,177.55,178.75,29480,False,False,1,7.499101094275271,12.654867256637162,-0.09292579167529447,-0.037633250780661265
2019-10-16,177.92,178.26,176.27,177.87,38942,False,False,1,7.462182442734223,12.59256637168141,-0.0973913877778162,-0.04237105631527949
2019-10-17,178.89,179.19,177.5,177.94,24585,False,False,1,7.46511915365226,12.5975221238938,-0.0970361699060247,-0.04199418542048039
2019-10-18,177.9,178.2,174.55,175.71,39689,False,False,1,7.371563934406198,12.439646017699111,-0.10835239639309646,-0.05400021535479704
2019-10-21,176.0,176.73,174.61,176.43,28297,False,False,1,7.401770103848873,12.490619469026544,-0.10469872685466974,-0.050123829008291154
2019-10-22,177.0,177.79,170.78,170.86,53636,False,False,1,7.1680918207992885,12.096283185840704,-0.13296392036722127,-0.08011198449445456
2019-10-23,170.99,172.17,170.18,171.32,37921,False,False,1,7.187390206832108,12.128849557522118,-0.13062963149544882,-0.07763540432863159
